"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameDateAPITransferComparator record1Value","[0] PlayerNameDateAPITransferComparator record2Value","[0] PlayerNameDateAPITransferComparator record1PreprocessedValue","[0] PlayerNameDateAPITransferComparator record2PreprocessedValue","[0] PlayerNameDateAPITransferComparator similarity","[0] PlayerNameDateAPITransferComparator postproccesedSimilarity"
"LinearCombinationMatchingRule","3007910","4003578","0.31999999999999995",,"Anthony van den Hurk","Andre Wisdom","anthony van den hurk","andre wisdom","0.19999999999999996","0.31999999999999995"
"LinearCombinationMatchingRule","3007521","4005504","0.16999999999999996",,"Ragnar Ache","Richelo Fecunda","ragnar ache","richelo fecunda","0.19999999999999996","0.16999999999999996"
"LinearCombinationMatchingRule","3008352","4008958","0.2833333333333334",,"Yannick Padilla","Yoane Wissa","yannick padilla","yoane wissa","0.33333333333333337","0.2833333333333334"
"LinearCombinationMatchingRule","3006010","4010146","0.6118421052631579",,"Alexandre Coeff","Alexandre Lacazette","alexandre coeff","alexandre lacazette","0.631578947368421","0.6118421052631579"
"LinearCombinationMatchingRule","3000024","4008968","0.18214285714285716",,"Dragan Smoljan","Daniel Mancini","dragan smoljan","daniel mancini","0.2142857142857143","0.18214285714285716"
"LinearCombinationMatchingRule","3005482","4006278","0.26153846153846155",,"Makihito Ito","Marc Torrejón","makihito ito","marc torrejon","0.3076923076923077","0.26153846153846155"
"LinearCombinationMatchingRule","3005283","4003847","0.19615384615384612",,"Nago Shintaro","Nacer Chadli","nago shintaro","nacer chadli","0.23076923076923073","0.19615384615384612"
"LinearCombinationMatchingRule","3007489","4000333","0.3",,"Stefano Callegari","Sebastian Usai","stefano callegari","sebastian usai","0.3529411764705882","0.3"
"LinearCombinationMatchingRule","3000464","4000542","0.22368421052631582",,"Jonathan Williams","Jean-Alain Fanchone","jonathan williams","jean-alain fanchone","0.26315789473684215","0.22368421052631582"
"LinearCombinationMatchingRule","3001906","4009464","0.19615384615384612",,"Tom Bradshaw","Thierry Graça","tom bradshaw","thierry graca","0.23076923076923073","0.19615384615384612"
"LinearCombinationMatchingRule","3008130","4003521","0.20000000000000004",,"Mateo Carabajal","Marcin Wasilewski","mateo carabajal","marcin wasilewski","0.23529411764705888","0.20000000000000004"
"LinearCombinationMatchingRule","3004543","4004098","0.159375",,"Matthijs de Ligt","Mihai Roman","matthijs de ligt","mihai roman","0.1875","0.159375"
"LinearCombinationMatchingRule","3001652","4011494","0.2266666666666667",,"Alex Perry","Andreas Poulsen","alex perry","andreas poulsen","0.2666666666666667","0.2266666666666667"
"LinearCombinationMatchingRule","3009147","4010789","0.265625",,"Matthew Sorinola","Marcos Acuña","matthew sorinola","marcos acuna","0.3125","0.265625"
"LinearCombinationMatchingRule","3009041","4002020","0.1133333333333333",,"Rundell","Rodney Strasser","rundell","rodney strasser","0.1333333333333333","0.1133333333333333"
"LinearCombinationMatchingRule","3005988","4005410","0.18214285714285716",,"Ibrahima Niane","Iván López","ibrahima niane","ivan lopez","0.2142857142857143","0.18214285714285716"
"LinearCombinationMatchingRule","3006117","4006245","0.22368421052631582",,"Simon Graves Jensen","Stefan Thesker","simon graves jensen","stefan thesker","0.26315789473684215","0.22368421052631582"
"LinearCombinationMatchingRule","3002545","4001593","0.3625",,"Ibai Gomez Perez","Ivan Perisic","ibai gomez perez","ivan perisic","0.25","0.3625"
"LinearCombinationMatchingRule","3003806","4010515","0.10000000000000002",,"Nana Akwasi Asare","Nicolò Gigli","nana akwasi asare","nicolo gigli","0.11764705882352944","0.10000000000000002"
"LinearCombinationMatchingRule","3005317","4004961","0.255",,"Alessandro Lambrughi","Alex Soares","alessandro lambrughi","alex soares","0.30000000000000004","0.255"
"LinearCombinationMatchingRule","3003957","4006431","0.1789473684210526",,"Anel Hajric","Alessandro Diamanti","anel hajric","alessandro diamanti","0.21052631578947367","0.1789473684210526"
