"AttributeName","Consistency","ValueIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Photo","1.0","Photo-{15196|3004820|14999}","{https://cdn.sofifa.org/players/4/19/243931.png|http://zq.win007.com/Image/player/images/2019823214246.jpg|https://cdn.sofifa.org/players/4/19/240778.png}","https://cdn.sofifa.org/players/4/19/243931.png",,
"Photo","1.0","Photo-{9521|3001633}","{https://cdn.sofifa.org/players/4/19/177315.png|http://zq.win007.com/Image/player/images/201287164230.jpg}","https://cdn.sofifa.org/players/4/19/177315.png",,
"Photo","1.0","Photo-{3744}","{https://cdn.sofifa.org/players/4/19/205998.png}","https://cdn.sofifa.org/players/4/19/205998.png",,
"Photo","1.0","Photo-{3611}","{https://cdn.sofifa.org/players/4/19/221311.png}","https://cdn.sofifa.org/players/4/19/221311.png",,
"Photo","1.0","Photo-{12726|3001865}","{https://cdn.sofifa.org/players/4/19/173734.png|http://zq.win007.com/Image/player/images/201288171245.jpg}","https://cdn.sofifa.org/players/4/19/173734.png",,
"Photo","1.0","Photo-{1216}","{https://cdn.sofifa.org/players/4/19/189963.png}","https://cdn.sofifa.org/players/4/19/189963.png",,
"Photo","1.0","Photo-{3001455|3766}","{http://zq.win007.com/Image/player/images/201478214308.jpg|https://cdn.sofifa.org/players/4/19/206006.png}","https://cdn.sofifa.org/players/4/19/206006.png",,
"Photo","1.0","Photo-{3003341|4756}","{http://zq.win007.com/Image/player/images/20141013162632.png|https://cdn.sofifa.org/players/4/19/228353.png}","https://cdn.sofifa.org/players/4/19/228353.png",,
"Photo","1.0","Photo-{606}","{https://cdn.sofifa.org/players/4/19/208334.png}","https://cdn.sofifa.org/players/4/19/208334.png",,
"Photo","1.0","Photo-{3008326}","{http://zq.win007.com/Image/player/images/201484114331.jpg}","http://zq.win007.com/Image/player/images/201484114331.jpg",,
"Photo","1.0","Photo-{5040}","{https://cdn.sofifa.org/players/4/19/139597.png}","https://cdn.sofifa.org/players/4/19/139597.png",,
"Photo","1.0","Photo-{5173}","{https://cdn.sofifa.org/players/4/19/113524.png}","https://cdn.sofifa.org/players/4/19/113524.png",,
"Photo","1.0","Photo-{9224}","{https://cdn.sofifa.org/players/4/19/193123.png}","https://cdn.sofifa.org/players/4/19/193123.png",,
"Photo","1.0","Photo-{3004669|1967}","{http://zq.win007.com/Image/player/images/2015720171751.jpg|https://cdn.sofifa.org/players/4/19/211907.png}","https://cdn.sofifa.org/players/4/19/211907.png",,
"Photo","1.0","Photo-{403|3004142}","{https://cdn.sofifa.org/players/4/19/161956.png|http://zq.win007.com/Image/player/images/20121952846.jpg}","https://cdn.sofifa.org/players/4/19/161956.png",,
"Photo","1.0","Photo-{9432|3001523}","{https://cdn.sofifa.org/players/4/19/202131.png|http://zq.win007.com/Image/player/images/2013811152255.jpg}","https://cdn.sofifa.org/players/4/19/202131.png",,
"Photo","1.0","Photo-{3003421}","{http://zq.win007.com/Image/player/images/2013819205038.jpg}","http://zq.win007.com/Image/player/images/2013819205038.jpg",,
"Photo","1.0","Photo-{8080|3004294}","{https://cdn.sofifa.org/players/4/19/237407.png|http://zq.win007.com/Image/player/images/2018926163628.jpg}","https://cdn.sofifa.org/players/4/19/237407.png",,
"Photo","1.0","Photo-{3004317|7848}","{http://zq.win007.com/Image/player/images/2013916213749.jpg|https://cdn.sofifa.org/players/4/19/198701.png}","https://cdn.sofifa.org/players/4/19/198701.png",,
"Photo","1.0","Photo-{3009126|9955}","{http://zq.win007.com/Image/player/images/2012130153602.jpg|https://cdn.sofifa.org/players/4/19/193798.png}","https://cdn.sofifa.org/players/4/19/193798.png",,
"Photo","1.0","Photo-{3002188|8459}","{http://zq.win007.com/Image/player/images/201485111858.png|https://cdn.sofifa.org/players/4/19/204219.png}","https://cdn.sofifa.org/players/4/19/204219.png",,
"Photo","1.0","Photo-{1217}","{https://cdn.sofifa.org/players/4/19/188428.png}","https://cdn.sofifa.org/players/4/19/188428.png",,
