"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameFIFAESDComparatorJaccard record1Value","[0] PlayerNameFIFAESDComparatorJaccard record2Value","[0] PlayerNameFIFAESDComparatorJaccard record1PreprocessedValue","[0] PlayerNameFIFAESDComparatorJaccard record2PreprocessedValue","[0] PlayerNameFIFAESDComparatorJaccard similarity","[0] PlayerNameFIFAESDComparatorJaccard postproccesedSimilarity","[1] HeightFIFAESDAbsoluteDifferences record1Value","[1] HeightFIFAESDAbsoluteDifferences record2Value","[1] HeightFIFAESDAbsoluteDifferences record1PreprocessedValue","[1] HeightFIFAESDAbsoluteDifferences record2PreprocessedValue","[1] HeightFIFAESDAbsoluteDifferences similarity","[1] HeightFIFAESDAbsoluteDifferences postproccesedSimilarity","[2] DateFIFAESDComparator2Year record1Value","[2] DateFIFAESDComparator2Year record2Value","[2] DateFIFAESDComparator2Year record1PreprocessedValue","[2] DateFIFAESDComparator2Year record2PreprocessedValue","[2] DateFIFAESDComparator2Year similarity","[2] DateFIFAESDComparator2Year postproccesedSimilarity"
"LinearCombinationMatchingRule","10913","2000490","0.16666666666666666",,"A. Chicksen","Alvaro Saborio","a chicksen","a saborio","0.3333333333333333","0.3333333333333333","172.72000122070312","182.8800048828125","172.72000122070312","182.8800048828125","0.0","0.0","1993-01-01T00:00","1982-03-25T00:00","1993-01-01T00:00","1982-03-25T00:00","0.0","0.0"
"LinearCombinationMatchingRule","14415","2006423","0.33729187647501624",,"N. Blissett","Nauris Bulvitis","n blissett","n bulvitis","0.3333333333333333","0.3333333333333333","193.0399932861328","190.5","193.0399932861328","190.5","0.6825008392333984","0.6825008392333984","1991-01-01T00:00","1987-03-15T00:00","1991-01-01T00:00","1987-03-15T00:00","0.0","0.0"
"LinearCombinationMatchingRule","89","2004712","0.41666666666666663",,"K. Manolas","Kevin Jansen","k manolas","k jansen","0.3333333333333333","0.3333333333333333","187.9600067138672","177.8000030517578","187.9600067138672","177.8000030517578","0.0","0.0","1992-01-01T00:00","1992-04-08T00:00","1992-01-01T00:00","1992-04-08T00:00","1.0","1.0"
"LinearCombinationMatchingRule","17500","2002013","0.16666666666666666",,"D. Pakulski","David Witteveen","d pakulski","d witteveen","0.3333333333333333","0.3333333333333333","175.25999450683594","190.5","175.25999450683594","190.5","0.0","0.0","2000-01-01T00:00","1985-05-05T00:00","2000-01-01T00:00","1985-05-05T00:00","0.0","0.0"
"LinearCombinationMatchingRule","12688","2007049","0.1875",,"PC","Philipe Sampaio","pc","philipe sampaio","0.0","0.0","172.72000122070312","190.5","172.72000122070312","190.5","0.0","0.0","1995-01-01T00:00","1994-11-11T00:00","1995-01-01T00:00","1994-11-11T00:00","0.75","0.75"
"LinearCombinationMatchingRule","14088","2000517","0.16666666666666666",,"A. Zekaj","Anass Achahbar","a zekaj","a achahbar","0.3333333333333333","0.3333333333333333","187.9600067138672","175.25999450683594","187.9600067138672","175.25999450683594","0.0","0.0","2001-01-01T00:00","1994-01-13T00:00","2001-01-01T00:00","1994-01-13T00:00","0.0","0.0"
"LinearCombinationMatchingRule","17500","2002017","0.16666666666666666",,"D. Pakulski","Davide Astori","d pakulski","d astori","0.3333333333333333","0.3333333333333333","175.25999450683594","187.9600067138672","175.25999450683594","187.9600067138672","0.0","0.0","2000-01-01T00:00","1987-01-07T00:00","2000-01-01T00:00","1987-01-07T00:00","0.0","0.0"
"LinearCombinationMatchingRule","6380","2003936","0.41666666666666663",,"J. Mansilla","Jens Grahl","j mansilla","j grahl","0.3333333333333333","0.3333333333333333","177.8000030517578","193.0399932861328","177.8000030517578","193.0399932861328","0.0","0.0","1988-01-01T00:00","1988-09-22T00:00","1988-01-01T00:00","1988-09-22T00:00","1.0","1.0"
"LinearCombinationMatchingRule","16030","2003034","0.17854181925455728",,"G. Boylan","Gary Gardner","g boylan","g gardner","0.3333333333333333","0.3333333333333333","177.8000030517578","185.4199981689453","177.8000030517578","185.4199981689453","0.0475006103515625","0.0475006103515625","1997-01-01T00:00","1992-06-29T00:00","1997-01-01T00:00","1992-06-29T00:00","0.0","0.0"
"LinearCombinationMatchingRule","2253","2004293","0.17854181925455728",,"J. Boëtius","Jordi Figueras","j boetius","j figueras","0.3333333333333333","0.3333333333333333","177.8000030517578","185.4199981689453","177.8000030517578","185.4199981689453","0.0475006103515625","0.0475006103515625","1995-01-01T00:00","1987-05-16T00:00","1995-01-01T00:00","1987-05-16T00:00","0.0","0.0"
